DataHora;Satelite;Pais;Estado;Municipi;Bioma;DiaSemCh;Precipit;RiscoFog;Latitude;Longitud;AreaIndu;FRP
2019/09/08 16:20:00;AQUA_M-T;Brasil;PIAUI;FLORIANO;Caatinga;63;0;1;"-7,04";"-42,912";;37.5
2019/09/08 16:20:00;AQUA_M-T;Brasil;MARANHAO;JENIPAPO DOS VIEIRAS;Cerrado;60;0;1;"-5,677";"-45,557";;27.9
2019/09/08 16:20:00;AQUA_M-T;Brasil;TOCANTINS;RIO SONO;Cerrado;93;0;1;"-9,825";"-47,235";;116
2019/09/08 16:20:00;AQUA_M-T;Brasil;PIAUI;BERTOLINIA;Cerrado;62;0;1;"-7,958";"-43,95";;14
2019/09/08 16:20:00;AQUA_M-T;Brasil;MARANHAO;BARRA DO CORDA;Cerrado;22;0;1;"-5,722";"-45,306";;22.1
2019/09/08 16:20:00;AQUA_M-T;Brasil;PIAUI;PEDRO LAURENTINO;Caatinga;82;0;1;"-8,067";"-42,374";;62.9
2019/09/08 16:20:00;AQUA_M-T;Brasil;PIAUI;REGENERACAO;Caatinga;63;0;1;"-6,416";"-42,398";;23.9
2019/09/08 16:20:00;AQUA_M-T;Brasil;PIAUI;CURRAIS;Cerrado;62;0;1;"-8,505";"-44,808";;80
2019/09/08 16:20:00;AQUA_M-T;Brasil;MARANHAO;GRAJAU;Cerrado;2;0;1;"-5,781";"-45,986";;13.3
2019/09/08 16:20:00;AQUA_M-T;Brasil;PIAUI;CURRAIS;Cerrado;62;0;1;"-8,502";"-44,774";;139.5
2019/09/08 16:20:00;AQUA_M-T;Brasil;PIAUI;FLORES DO PIAUI;Caatinga;108;0;1;"-7,68";"-42,958";;15.3
2019/09/08 16:20:00;AQUA_M-T;Brasil;PIAUI;ASSUNCAO DO PIAUI;Caatinga;59;0;1;"-6,041";"-41,053";;16
2019/09/08 16:20:00;AQUA_M-T;Brasil;TOCANTINS;BABACULANDIA;Cerrado;2;0;1;"-7,216";"-48,016";;45.1
